_id,gameId,teamId,assists,blocks,steals,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,turnovers,q1Points,q2Points,q3Points,q4Points
699821cee161b702e0882243,22500752,1610612741,25,3,9,0.446,0.392,0.9,25,12,37,16,36,29,39,16
699821cee161b702e0882244,22500752,1610612743,37,7,7,0.576,0.485,0.667,30,11,41,13,39,20,38,39
699821cee161b702e0882245,22500751,1610612737,30,6,9,0.489,0.486,0.882,25,5,30,10,35,25,30,29
699821cee161b702e0882246,22500751,1610612766,31,3,5,0.484,0.462,1,33,16,49,15,32,28,38,28
699821cee161b702e0882247,22500750,1610612753,26,7,15,0.429,0.317,0.814,35,3,38,14,33,21,33,33
699821cee161b702e0882248,22500750,1610612762,30,4,11,0.478,0.323,0.826,42,12,54,24,30,35,29,23
699821cee161b702e0882249,22500749,1610612742,35,4,10,0.438,0.405,0.75,29,12,41,7,32,35,24,34
699821cee161b702e088224a,22500749,1610612759,34,11,5,0.556,0.4,0.7,40,12,52,16,39,42,33,24
699821cee161b702e088224b,22500748,1610612745,25,5,12,0.458,0.349,0.75,31,10,41,14,28,18,34,32
699821cee161b702e088224c,22500748,1610612760,25,2,10,0.451,0.389,0.643,29,13,42,16,28,24,22,32
699821cee161b702e088224d,22500747,1610612751,36,3,8,0.549,0.342,0.737,32,13,45,13,46,34,21,26
699821cee161b702e088224e,22500747,1610612764,18,8,6,0.468,0.367,0.933,25,5,30,15,20,27,35,31
699821cee161b702e088224f,22500746,1610612746,22,7,6,0.521,0.429,0.861,35,5,40,15,17,31,31,35
699821cee161b702e0882250,22500745,1610612757,31,7,9,0.544,0.405,0.952,34,12,46,18,25,43,38,29
699821cee161b702e0882251,22500746,1610612758,22,6,10,0.446,0.27,0.864,30,12,42,11,27,22,28,34
699821cee161b702e0882252,22500745,1610612763,28,3,12,0.477,0.366,0.762,27,10,37,16,36,28,23,28
699821cee161b702e0882253,22500744,1610612740,29,5,5,0.538,0.441,0.818,33,6,39,16,34,22,33,30
699821cee161b702e0882254,22500743,1610612749,26,2,4,0.463,0.302,0.667,35,13,48,11,23,31,29,22
699821cee161b702e0882255,22500744,1610612750,22,7,7,0.421,0.325,0.846,27,20,47,9,32,38,24,21
699821cee161b702e0882256,22500743,1610612754,26,4,9,0.443,0.279,0.81,32,5,37,9,29,18,18,34
699821cee161b702e0882257,22500741,1610612738,17,7,7,0.417,0.278,0.783,37,13,50,14,15,23,36,24
699821cee161b702e0882258,22500741,1610612748,23,3,9,0.417,0.325,0.722,32,10,42,12,29,30,15,22
699821cee161b702e0882259,22500742,1610612752,22,1,6,0.354,0.242,0.824,25,10,35,13,17,25,18,20
699821cee161b702e088225a,22500742,1610612765,31,6,10,0.53,0.425,0.867,36,8,44,12,28,35,27,28
699821cee161b702e088225b,22500739,1610612744,23,4,8,0.434,0.364,0.75,35,10,45,15,25,34,17,25
699821cee161b702e088225c,22500740,1610612747,27,4,8,0.557,0.36,0.815,32,10,42,22,21,30,34,34
699821cee161b702e088225d,22500740,1610612755,29,3,15,0.536,0.208,0.87,24,4,28,14,27,32,28,28
699821cee161b702e088225e,22500739,1610612756,22,1,10,0.463,0.372,0.833,31,6,37,12,29,26,27,15
699821cee161b702e088225f,22500738,1610612742,23,8,9,0.485,0.387,0.85,34,7,41,9,35,28,33,27
699821cee161b702e0882260,22500738,1610612759,34,7,7,0.505,0.415,0.88,39,11,50,13,38,36,25,36
699821cee161b702e0882261,22500737,1610612745,24,5,17,0.458,0.348,0.75,28,12,40,18,26,23,26,24
699821cee161b702e0882262,22500737,1610612766,21,5,14,0.414,0.395,0.909,30,16,46,20,29,32,30,18
699821cee161b702e0882263,22500735,1610612737,34,10,3,0.49,0.229,0.739,31,19,50,10,30,31,31,29
699821cee161b702e0882264,22500736,1610612741,28,4,9,0.451,0.367,0.875,25,13,38,15,25,33,30,19
699821cee161b702e0882265,22500736,1610612761,35,7,10,0.563,0.412,0.846,27,8,35,11,33,32,35,23
699821cee161b702e0882266,22500735,1610612762,19,4,7,0.465,0.4,0.65,31,18,49,8,31,29,36,23
699821cee161b702e0882267,22500734,1610612751,22,2,7,0.415,0.308,0.621,25,11,36,19,19,21,27,31
699821cee161b702e0882268,22500734,1610612753,32,11,14,0.537,0.281,0.778,33,9,42,13,27,29,32,30
699821cee161b702e0882269,22500733,1610612764,30,6,9,0.538,0.439,0.556,28,11,39,16,34,22,39,31
699821cee161b702e088226a,22500733,1610612765,22,5,11,0.466,0.273,0.788,33,14,47,15,21,31,32,33
699821cee161b702e088226b,22500732,1610612739,30,5,17,0.51,0.39,0.615,31,13,44,9,36,26,32,30
699821cee161b702e088226c,22500732,1610612746,20,4,6,0.463,0.214,0.917,31,6,37,24,18,24,26,23
699821cee161b702e088226d,22500731,1610612758,29,2,4,0.45,0.306,0.857,32,14,46,13,31,26,34,34
699821cee161b702e088226e,22500731,1610612763,30,4,8,0.5,0.439,0.75,33,11,44,13,28,30,31,40
699821cee161b702e088226f,22500730,1610612759,26,8,11,0.446,0.333,0.6,45,18,63,12,39,34,22,21
699821cee161b702e0882270,22500730,1610612760,26,9,10,0.398,0.404,0.929,37,9,46,14,26,32,27,21
699821cee161b702e0882271,22500728,1610612738,26,6,6,0.433,0.373,0.85,37,20,57,13,18,31,36,29
699821cee161b702e0882272,22500729,1610612740,32,2,9,0.479,0.522,0.793,29,9,38,8,34,36,34,24
699821cee161b702e0882273,22500728,1610612745,16,5,10,0.415,0.367,0.636,26,12,38,9,17,25,21,30
699821cee161b702e0882274,22500729,1610612749,36,3,5,0.609,0.447,0.8,37,6,43,14,30,33,36,29
699821cee161b702e0882275,22500727,1610612750,26,5,8,0.505,0.41,0.56,33,13,46,10,32,27,35,34
699821cee161b702e0882276,22500727,1610612761,31,7,6,0.528,0.484,0.708,32,9,41,13,35,37,32,22
699821cee161b702e0882277,22500726,1610612743,29,3,8,0.438,0.26,0.815,36,15,51,14,30,23,29,26
699821cee161b702e0882278,22500726,1610612752,28,2,4,0.5,0.36,0.842,36,9,45,11,28,27,33,20
699821cee161b702e0882279,22500725,1610612756,26,2,13,0.515,0.488,0.667,27,18,45,11,30,37,34,29
699821cee161b702e088227a,22500725,1610612757,31,5,8,0.495,0.346,0.722,29,18,47,17,41,31,22,31
699821cee161b702e088227b,22500724,1610612744,27,6,8,0.474,0.396,0.5,25,8,33,20,32,23,16,23
699821cee161b702e088227c,22500724,1610612755,23,3,9,0.452,0.342,0.762,31,25,56,12,31,27,26,29
699821cee161b702e088227d,22500721,1610612738,27,4,7,0.49,0.333,0.6,37,10,47,9,32,20,34,24
699821cee161b702e088227e,22500722,1610612741,26,11,9,0.44,0.373,0.696,33,10,43,10,24,28,37,26
699821cee161b702e088227f,22500721,1610612742,21,4,4,0.416,0.281,0.773,36,13,49,9,29,15,23,33
699821cee161b702e0882280,22500722,1610612749,33,4,6,0.515,0.605,0.533,38,13,51,13,39,38,28,26
699821cee161b702e0882281,22500723,1610612753,21,5,5,0.382,0.317,1,28,10,38,15,14,27,27,24
699821cee161b702e0882282,22500723,1610612760,33,1,12,0.516,0.343,0.769,38,14,52,10,39,29,26,34
699821cee161b702e0882283,22500720,1610612737,34,2,7,0.485,0.42,0.615,39,8,47,9,33,34,31,29
699821cee161b702e0882284,22500719,1610612747,25,0,14,0.541,0.226,0.667,31,10,41,12,45,24,31,25
699821cee161b702e0882285,22500720,1610612748,25,1,6,0.438,0.25,0.885,41,12,53,11,23,27,31,34
699821cee161b702e0882286,22500719,1610612751,28,0,7,0.479,0.244,0.643,32,16,48,20,23,17,34,35
699821cee161b702e0882287,22500716,1610612743,20,10,7,0.446,0.333,0.86,31,12,43,10,27,23,30,41
699821cee161b702e0882288,22500718,1610612752,34,5,6,0.522,0.459,0.778,41,9,50,9,38,34,30,30
699821cee161b702e0882289,22500717,1610612754,33,2,6,0.536,0.359,0.667,31,7,38,15,32,24,33,33
699821cee161b702e088228a,22500717,1610612762,38,4,13,0.568,0.448,0.692,32,6,38,9,25,31,40,35
699821cee161b702e088228b,22500718,1610612764,19,3,6,0.407,0.355,0.625,32,10,42,13,22,23,26,30
699821cee161b702e088228c,22500716,1610612765,27,4,9,0.457,0.414,0.867,31,12,43,9,32,37,24,31
699821cee161b702e088228d,22500715,1610612746,24,2,4,0.59,0.346,0.6,31,5,36,14,19,34,34,26
699821cee161b702e088228e,22500715,1610612755,31,3,8,0.479,0.436,0.955,27,14,41,5,38,34,28,28
699821cee161b702e088228f,22500714,1610612750,24,7,4,0.489,0.39,0.774,27,13,40,9,29,29,28,42
699821cee161b702e0882290,22500714,1610612763,31,2,5,0.5,0.463,0.857,33,12,45,9,36,30,32,39
699821cee161b702e0882291,22500713,1610612745,21,6,7,0.46,0.318,0.838,37,19,56,15,24,39,24,31
699821cee161b702e0882292,22500713,1610612754,33,6,10,0.494,0.462,0.762,26,7,33,10,28,28,31,27
699821cee161b702e0882293,22500712,1610612740,23,4,9,0.393,0.324,0.72,29,5,34,7,30,34,18,13
699821cee161b702e0882294,22500712,1610612766,16,3,3,0.4,0.24,0.815,46,13,59,16,23,26,29,24
699821cee161b702e0882295,22500711,1610612743,29,4,9,0.494,0.457,0.708,31,8,39,17,26,29,30,26
699821cee161b702e0882296,22500711,1610612760,23,6,12,0.471,0.396,0.815,27,12,39,13,32,30,39,20
699821cee161b702e0882297,22500710,1610612739,41,7,15,0.549,0.471,0.737,29,10,39,13,29,28,41,32
699821cee161b702e0882298,22500703,1610612753,24,1,11,0.44,0.333,0.867,28,6,34,13,21,40,18,24
699821cee161b702e0882299,22500710,1610612757,24,5,7,0.449,0.318,0.75,30,17,47,22,24,24,30,33
699821cee161b702e088229a,22500703,1610612759,27,6,8,0.5,0.276,0.688,40,8,48,15,37,23,26,26
699821cee161b702e088229b,22500709,1610612746,25,3,2,0.518,0.375,0.647,48,15,63,17,24,25,36,32
699821cee161b702e088229c,22500709,1610612756,21,4,7,0.333,0.413,0.667,25,10,35,4,20,23,28,22
699821cee161b702e088229d,22500708,1610612747,21,3,5,0.452,0.286,0.632,29,7,36,10,33,23,26,18
699821cee161b702e088229e,22500708,1610612752,30,2,7,0.473,0.429,0.727,32,14,46,7,27,25,38,22
699821cee161b702e088229f,22500705,1610612741,18,6,5,0.322,0.146,0.853,32,15,47,18,13,27,22,29
699821cee161b702e08822a0,22500705,1610612748,44,5,8,0.505,0.368,0.706,39,15,54,8,34,28,39,33
699821cee161b702e08822a1,22500704,1610612751,17,2,3,0.329,0.226,0.815,33,10,43,23,24,20,18,15
699821cee161b702e08822a2,22500707,1610612758,21,8,9,0.464,0.381,0.897,24,13,37,14,14,34,34,30
699821cee161b702e08822a3,22500706,1610612761,22,8,11,0.417,0.343,0.833,29,13,42,16,28,23,35,21
699821cee161b702e08822a4,22500706,1610612762,20,6,10,0.356,0.222,0.824,38,18,56,22,23,33,28,16
699821cee161b702e08822a5,22500707,1610612764,31,4,10,0.523,0.419,0.733,29,13,42,17,23,30,35,28
699821cee161b702e08822a6,22500704,1610612765,33,6,17,0.565,0.375,0.759,38,5,43,6,33,34,33,30
699821cee161b702e08822a7,22500702,1610612738,24,2,4,0.446,0.357,0.769,35,17,52,9,26,30,22,29
699821cee161b702e08822a8,22500702,1610612749,17,0,5,0.354,0.294,0.733,28,12,40,10,26,16,19,18
699821cee161b702e08822a9,22500701,1610612742,19,4,3,0.446,0.435,0.577,37,11,48,11,28,23,31,25
699821cee161b702e08822aa,22500701,1610612745,33,6,10,0.417,0.385,0.733,35,18,53,5,31,28,28,24
699821cee161b702e08822ab,22500692,1610612741,34,5,8,0.523,0.5,0.722,42,1,43,23,31,25,35,34
699821cee161b702e08822ac,22500692,1610612748,26,4,17,0.432,0.277,0.742,38,9,47,19,25,38,21,34
699821cee161b702e08822ad,22500700,1610612750,28,5,12,0.528,0.486,0.792,34,11,45,14,30,28,39,34
699821cee161b702e08822ae,22500700,1610612763,29,4,8,0.489,0.27,0.667,30,13,43,14,21,28,30,35
699821cee161b702e08822af,22500699,1610612740,23,11,5,0.435,0.417,0.864,35,11,46,10,33,21,27,33
699821cee161b702e08822b0,22500699,1610612755,28,4,5,0.479,0.472,0.739,40,12,52,9,31,36,20,37
699821cee161b702e08822b1,22500698,1610612737,25,2,11,0.474,0.393,0.75,29,10,39,10,39,34,27,24
699821cee161b702e08822b2,22500698,1610612754,29,4,6,0.539,0.469,0.857,40,11,51,23,35,45,23,26
699821cee161b702e08822b3,22500697,1610612759,26,6,7,0.475,0.382,0.895,30,6,36,10,30,17,28,31
699821cee161b702e08822b4,22500697,1610612766,30,5,5,0.443,0.371,0.909,37,14,51,11,26,35,24,26
699821cee161b702e08822b5,22500696,1610612744,31,4,10,0.444,0.346,0.743,31,11,42,18,37,27,31,29
699821cee161b702e08822b6,22500696,1610612765,31,3,13,0.484,0.385,0.806,38,15,53,14,45,32,31,23
699821cee161b702e08822b7,22500694,1610612751,27,5,6,0.476,0.35,0.607,36,11,47,12,27,27,29,26
699821cee161b702e08822b8,22500694,1610612762,26,4,6,0.5,0.345,0.579,27,6,33,11,26,26,29,18
699821cee161b702e08822b9,22500693,1610612739,34,2,13,0.464,0.313,0.727,27,16,43,22,25,22,32,34
699821cee161b702e08822ba,22500695,1610612743,30,4,7,0.548,0.571,0.813,36,7,43,12,35,24,33,30
699821cee161b702e08822bb,22500695,1610612746,29,3,7,0.465,0.35,0.714,23,11,34,9,27,23,30,29
699821cee161b702e08822bc,22500693,1610612756,31,5,15,0.529,0.479,0.722,34,9,43,20,26,26,45,29
699821cee161b702e08822bd,22500689,1610612738,25,5,7,0.452,0.375,0.625,30,14,44,7,40,32,17,23
699821cee161b702e08822be,22500691,1610612740,24,6,13,0.489,0.242,0.769,28,14,42,15,28,30,35,21
699821cee161b702e08822bf,22500690,1610612752,29,3,9,0.485,0.422,0.857,36,16,52,13,37,22,28,40
699821cee161b702e08822c0,22500687,1610612753,28,3,7,0.513,0.5,0.892,32,3,35,12,29,21,36,44
699821cee161b702e08822c1,22500690,1610612757,23,5,5,0.432,0.302,0.737,29,8,37,20,22,27,20,28
699821cee161b702e08822c2,22500689,1610612758,19,6,4,0.373,0.323,0.913,32,15,47,14,25,21,20,27
699821cee161b702e08822c3,22500687,1610612761,33,6,8,0.524,0.25,0.781,31,7,38,13,28,29,42,21
699821cee161b702e08822c4,22500691,1610612763,26,3,11,0.43,0.293,0.933,30,16,46,19,32,29,15,30
699821cee161b702e08822c5,22500688,1610612747,38,4,17,0.612,0.424,0.75,35,11,46,16,41,36,31,34
699821cee161b702e08822c6,22500688,1610612764,28,4,10,0.444,0.333,0.7,22,17,39,18,27,21,36,27
699821cee161b702e08822c7,22500686,1610612750,26,7,12,0.506,0.468,0.611,31,15,46,19,34,29,33,27
699821cee161b702e08822c8,22500686,1610612760,27,5,11,0.477,0.355,0.9,25,11,36,15,22,28,30,31
699821cee161b702e08822c9,22500684,1610612743,24,4,6,0.475,0.5,0.72,34,7,41,6,30,34,15,28
699821cee161b702e08822ca,22500684,1610612751,24,6,4,0.435,0.378,0.833,35,14,49,8,26,23,27,27
699821cee161b702e08822cb,22500685,1610612756,22,3,8,0.468,0.381,0.828,36,11,47,15,35,37,21,21
699821cee161b702e08822cc,22500685,1610612765,26,2,8,0.425,0.207,0.762,28,9,37,9,31,25,25,15
699821cee161b702e08822cd,22500683,1610612742,26,8,7,0.466,0.333,0.875,37,13,50,8,20,38,35,28
699821cee161b702e08822ce,22500683,1610612766,28,9,4,0.473,0.488,0.944,37,8,45,10,33,26,34,30
699821cee161b702e08822cf,22500682,1610612737,19,5,7,0.366,0.308,0.857,32,14,46,12,23,19,24,20
699821cee161b702e08822d0,22500529,1610612741,25,4,5,0.394,0.395,0.828,36,16,52,15,31,20,34,28
699821cee161b702e08822d1,22500682,1610612745,23,14,8,0.424,0.387,0.7,37,22,59,11,23,20,35,26
699821cee161b702e08822d2,22500529,1610612748,29,2,12,0.452,0.333,0.833,39,10,49,13,34,28,29,25
699821cee161b702e08822d3,22500681,1610612749,25,9,7,0.418,0.263,0.778,36,7,43,9,23,20,29,27
699821cee161b702e08822d4,22500680,1610612755,25,3,8,0.542,0.32,0.871,22,2,24,9,28,32,28,25
699821cee161b702e08822d5,22500680,1610612758,21,4,6,0.5,0.385,0.826,31,15,46,16,25,29,38,19
699821cee161b702e08822d6,22500681,1610612764,21,7,8,0.396,0.229,0.893,43,18,61,13,25,32,25,27
699821cee161b702e08822d7,22500679,1610612745,23,8,12,0.394,0.348,0.722,29,17,46,11,36,26,24,13
699821cee161b702e08822d8,22500679,1610612759,28,8,5,0.537,0.231,0.708,38,8,46,15,26,28,30,27
699821cee161b702e08822d9,22500678,1610612744,39,8,15,0.535,0.426,0.833,30,12,42,20,34,34,33,39
699821cee161b702e08822da,22500678,1610612762,38,3,16,0.489,0.395,0.875,27,10,37,19,24,31,38,31
