_id,gameId,teamId,defRating,eOffRating,efgPct,netRating,pace,tsPct
699821d4e161b702e08a5b1e,22500669,1610612751,117.8,109.3,0.593,-3.2,89.5,0.612
699821d4e161b702e08a5b1f,22500666,1610612749,141.8,119.7,0.599,-18.6,98.5,0.623
699821d4e161b702e08a5b20,22500667,1610612740,109.5,98.3,0.394,-11.5,96,0.437
699821d4e161b702e08a5b21,22500664,1610612757,107.5,100.8,0.45,-3.7,107,0.466
699821d4e161b702e08a5b22,22500665,1610612758,108.4,90.5,0.431,-17.8,95.5,0.467
699821d4e161b702e08a5b23,22500663,1610612750,77.6,102.4,0.543,23.4,107,0.584
699821d4e161b702e08a5b24,22500657,1610612766,91.2,122.8,0.669,37.5,101.5,0.685
699821d4e161b702e08a5b25,22500662,1610612745,101,107.1,0.505,7,99,0.536
699821d4e161b702e08a5b26,22500658,1610612739,102.1,114.1,0.601,17.9,95.5,0.627
699821d4e161b702e08a5b27,22500659,1610612737,106.4,119.5,0.592,12.5,110,0.626
699821d4e161b702e08a5b28,22500661,1610612747,116.8,129.3,0.659,10.9,101,0.681
699821d4e161b702e08a5b29,22500660,1610612738,95.9,97.2,0.506,8.2,98,0.521
699821d4e161b702e08a5b2a,22500660,1610612757,104.1,95.7,0.474,-8.2,98,0.515
699821d4e161b702e08a5b2b,22500661,1610612741,127.7,118.1,0.634,-10.9,101,0.656
699821d4e161b702e08a5b2c,22500659,1610612754,118.9,101.8,0.516,-12.5,110,0.558
699821d4e161b702e08a5b2d,22500658,1610612753,120,98.4,0.463,-17.9,95.5,0.487
699821d4e161b702e08a5b2e,22500662,1610612763,108,94.8,0.405,-7,99,0.44
699821d4e161b702e08a5b2f,22500657,1610612755,128.7,90.9,0.444,-37.5,101.5,0.478
699821d4e161b702e08a5b30,22500663,1610612744,100.9,76.3,0.395,-23.4,107,0.412
699821d4e161b702e08a5b31,22500644,1610612744,82.5,102.7,0.505,24.2,103.5,0.544
699821d4e161b702e08a5b32,22500656,1610612746,87.3,122.6,0.641,36.3,102,0.694
699821d4e161b702e08a5b33,22500650,1610612765,114.9,130.7,0.637,24.1,100.5,0.673
699821d4e161b702e08a5b34,22500655,1610612748,101,111.3,0.468,7.8,101.5,0.525
699821d4e161b702e08a5b35,22500654,1610612740,100,103.5,0.446,8.3,95.5,0.475
699821d4e161b702e08a5b36,22500653,1610612761,104.1,106.8,0.5,1,97.5,0.529
699821d4e161b702e08a5b37,22500653,1610612760,105.1,106.7,0.513,-1,97.5,0.57
699821d4e161b702e08a5b38,22500654,1610612759,108.3,97.9,0.469,-8.3,95.5,0.5
699821d4e161b702e08a5b39,22500655,1610612756,108.8,100.6,0.405,-7.8,101.5,0.458
699821d4e161b702e08a5b3a,22500650,1610612758,139,112.3,0.589,-24.1,100.5,0.602
699821d4e161b702e08a5b3b,22500656,1610612751,123.5,85.6,0.394,-36.3,102,0.464
699821d4e161b702e08a5b3c,22500644,1610612750,106.7,81.9,0.462,-24.2,103.5,0.484
699821d4e161b702e08a5b3d,22500649,1610612748,104.5,128.4,0.523,27.9,111,0.581
699821d4e161b702e08a5b3e,22500646,1610612739,105,119.4,0.623,15.2,99.5,0.656
699821d4e161b702e08a5b3f,22500648,1610612747,105.8,112.9,0.522,5.8,104,0.564
699821d4e161b702e08a5b40,22500645,1610612766,113.9,117.6,0.608,6.3,100,0.645
699821d4e161b702e08a5b41,22500647,1610612741,120.7,119.3,0.629,3.3,92,0.644
699821d4e161b702e08a5b42,22500643,1610612755,114.3,111.5,0.565,-1.9,97.5,0.607
